Line #,State abbreviation,State name,Congressional district, Citizen voting-age population estimate , Less than 9th grade estimate , Less than 9th grade percent of total , 9th to 12 Grade no diploma estimate , 9th to 12 Grade no diploma percent of total , High school graduate estimate , High school graduate percent of total , Some college no degree estimate , Some college no degree percent of total , Associate degree estimate , Associate degree percent of total , Bachelor degree estimate , Bachelor degree percent of total , Graduate degree estimate , Graduate degree percent of total , High school or more estimate , High school or more percent of total , Bachelor degree or more estimate 
347,SC,South Carolina,2,537342,12192,2.3,31646,5.9,155524,28.9,129295,24.1,48002,8.9,101285,18.8,59398,11.1,493504,91.8,160683
348,SC,South Carolina,3,534772,23598,4.4,55661,10.4,167914,31.4,120514,22.5,55599,10.4,70623,13.2,40863,7.6,455513,85.2,111486
349,SC,South Carolina,4,533533,14123,2.6,40243,7.5,144256,27,119282,22.4,51575,9.7,109232,20.5,54822,10.3,479167,89.8,164054
350,SC,South Carolina,5,552247,16054,2.9,52868,9.6,175909,31.9,129527,23.5,54597,9.9,83245,15.1,40047,7.3,483325,87.5,123292
351,SC,South Carolina,6,506843,15227,3,53208,10.5,175995,34.7,126565,25,45647,9,60929,12,29272,5.8,438408,86.5,90201
352,SC,South Carolina,7,571428,18426,3.2,54134,9.5,200743,35.1,125367,21.9,58464,10.2,74215,13,40079,7,498868,87.3,114294
353,SD,South Dakota,1,647089,14171,2.2,37075,5.7,198743,30.7,144419,22.3,76351,11.8,125006,19.3,51324,7.9,595843,92.1,176330
354,TN,Tennessee,1,563918,25317,4.5,48099,8.5,212285,37.6,130545,23.1,39878,7.1,68396,12.1,39398,7,490502,87,107794
355,TN,Tennessee,2,583056,17390,3,39983,6.9,170864,29.3,138825,23.8,50247,8.6,103401,17.7,62346,10.7,525683,90.2,165747
356,TN,Tennessee,3,571456,20499,3.6,48723,8.5,182887,32,143515,25.1,48676,8.5,80485,14.1,46671,8.2,502234,87.9,127156
357,TN,Tennessee,4,590540,21878,3.7,49220,8.3,207359,35.1,142942,24.2,47520,8,85399,14.5,36222,6.1,519442,88,121621
358,TN,Tennessee,5,563797,13155,2.3,36975,6.6,136097,24.1,126184,22.4,35464,6.3,135779,24.1,80143,14.2,513667,91.1,215922
359,TN,Tennessee,6,591603,26937,4.6,43027,7.3,219478,37.1,132632,22.4,40519,6.8,85377,14.4,43633,7.4,521639,88.2,129010
360,TN,Tennessee,7,578288,17582,3,43859,7.6,180146,31.2,121862,21.1,45543,7.9,113096,19.6,56200,9.7,516847,89.4,169296
361,TN,Tennessee,8,525277,18116,3.4,42833,8.2,169280,32.2,122651,23.3,36762,7,83897,16,51738,9.8,464328,88.4,135635
362,TN,Tennessee,9,507231,14189,2.8,50233,9.9,166751,32.9,130021,25.6,29313,5.8,75706,14.9,41018,8.1,442809,87.3,116724
363,TX,Texas,1,511974,18830,3.7,46087,9,156657,30.6,145772,28.5,43087,8.4,67560,13.2,33981,6.6,447057,87.3,101541
364,TX,Texas,2,520180,11793,2.3,24897,4.8,110070,21.2,119188,22.9,39555,7.6,139402,26.8,75275,14.5,483490,92.9,214677
365,TX,Texas,3,563318,8645,1.5,14975,2.7,94468,16.8,128087,22.7,40702,7.2,179942,31.9,96499,17.1,539698,95.8,276441
366,TX,Texas,4,543354,12838,2.4,38195,7,185066,34.1,142801,26.3,44708,8.2,81208,14.9,38538,7.1,492321,90.6,119746
